Fold,F1,Precision,Recall,FPR,TP,FP,TN,FN
1,0.975,1.0,0.9512,0.0,83,0,263,0
2,0.9676,1.0,0.9375,0.0,75,0,271,5
3,0.9825,1.0,0.9661,0.0,86,0,260,0
4,0.975,1.0,0.9512,0.0,78,0,264,4
5,0.9749,1.0,0.9512,0.0,91,0,259,12
